manufacturerNorm,modelStem,modelNumber,name,vendor,vendorNorm,vendorCost,vendorSku,isPrimarySuggested,distinctPricesForVendorKey,priceMin,priceMax,rowsInVendorKey,confidence,sourceWorkbook,sourceSheet,sourceRow
kohler,K728,K-728,Shower Diverter Valve,Ferguson,ferguson,204.17,K-728,true,1,204.17,204.17,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,164 | 53 | 119 | 225 | 42 | 58 | 54
kohler,K737,K-737,Shower Diverter Valve,Ferguson,ferguson,228.79,K-737,true,1,228.79,228.79,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,165 | 205 | 120 | 188 | 140
kohler,K76464,K-76464,"Shower Fixture / 8"" Rain Head",Ferguson,ferguson,165.81,K-76464,true,1,165.81,165.81,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,166 | 47 | 121 | 226 | 36 | 52 | 48
kohler,K8304,K-8304,Shower Fixures / Valve,Ferguson,ferguson,126.96,K-8304,true,1,126.96,126.96,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,167 | 168 | 46 | 152 | 190 | 122 | 27 | 35 | 250 | 51 | 47 | 707 | 747
kohler,K9660,K-9660,Shower Vacumn,Ferguson,ferguson,52.25,K-9660,true,1,52.25,52.25,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,169 | 51 | 125 | 227 | 40 | 56 | 52
kohler,K98350,K-98350,Shower Elbow Awaken,Ferguson,ferguson,45.30,K-98350,true,1,45.3,45.3,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,170 | 50 | 126 | 228 | 39 | 55 | 51
kohler,K99007,K-99007,"Lighted Medicine Cabinets - Over Sinks (2) 24""x30""",Ferguson,ferguson,2349.38,K-99007,true,1,2349.38,2349.38,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,171 | 224 | 127 | 204 | 142
kohler,K99242,K-99242,Shoer - Awaken Handshower Kit,Ferguson,ferguson,199.90,K-99242,true,1,199.9,199.9,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,172 | 49 | 128 | 229 | 38 | 54 | 50
kohler,KR27240,K-R27240,Grab Bar,Ferguson,ferguson,45.53,K-R27240,true,1,45.53,45.53,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,173 | 199 | 129 | 182 | 137
kohler,KR27241,K-R27241,"Grab Bars 16"" Vertical at Entrance of Shower",Home Depot,home depot,87.98,K-R27241,true,1,87.98,87.98,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,174 | 175 | 122 | 179 | 130 | 28 | 201 | 283 | 119 | 95 | 732
kohler,KR27242,K-R27242,"Grab Bar 24"" Hortizial undeer window",Home Depot,home depot,60.63,K-R27242,true,1,60.63,60.63,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,176 | 177 | 123 | 178 | 131 | 132 | 29 | 202 | 282 | 120 | 167 | 96 | 731
kohler,KT23509,K-T23509,Shower Diverter,Ferguson,ferguson,165.73,K-T23509,true,1,165.73,165.73,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,178 | 204 | 133 | 187 | 139
kohler,KT97091,K-T97091,Shower Diverter Trim,Ferguson,ferguson,141.49,K-T97091,true,1,141.49,141.49,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,179 | 52 | 134 | 230 | 41 | 57 | 53
kohler,KT99763,K-T99763,Tub Shower Trim,Ferguson,ferguson,584.46,K-T99763,true,1,584.46,584.46,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,180 | 23 | 135 | 32 | 33
kohler,KTS23501,K-TS23501,Shower Handle Trim,Ferguson,ferguson,2661.83,K-TS23501,true,1,2661.83,2661.83,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,181 | 202 | 136 | 185 | 138
kohler,KTS27043,K-TS27043,Shower Trim,Ferguson,ferguson,407.31,K-TS27043,true,1,407.31,407.31,2,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,182 | 151 | 137 | 231 | 249 | 144 | 113
kohler,KTS27392,K-TS27392,"Shower Head, Trim & Arm",Ferguson,ferguson,151.69,K-TS27392,true,1,151.69,151.69,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,183 | 189 | 138 | 177 | 135
kohler,KTS74042,K-TS74042,Shower Fixures / Trim,Ferguson,ferguson,61.07,K-TS74042,true,1,61.07,61.07,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,184 | 45 | 139 | 232 | 34 | 50 | 46
kohler,R31058,R31058,"24"" Sundae Towel Bar",Home Depot,home depot,27.08,R31058,true,1,27.08,27.08,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,229 | 180 | 179 | 285 | 284 | 168 | 131
kohler,R31059,R31059,"Sundae 18"" Towel bar",Home Depot,home depot,26.10,R31059,true,1,26.1,26.1,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,230 | 181 | 180 | 286 | 285 | 169 | 132
kohler,R31060,R31060,Sundae Toilet Paper Holder,Home Depot,home depot,21.68,R31060,true,1,21.68,21.68,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,231 | 182 | 181 | 287 | 286 | 170 | 133
kohler,R31062,R31062,(3) Hooks two for bath - one for hand towel,Home Depot,home depot,56.96,R31062,true,1,56.96,56.96,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,232 | 154 | 182 | 288 | 252 | 146 | 114
kohler,R38343,R38343,Shower Door - Swing brushed Nickel,Home Depot,home depot,550.33,R38343,true,1,550.33,550.33,1,high,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,237 | 166
kohler,SC03,SC03,Vanity Light,Ferguson,ferguson,267.00,SC03,true,1,267.0,267.0,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,31 | 86 | 30 | 88 | 96 | 81
lifeproof,ANTLERTRAIL210SQFT,ANTLERTRAIL210SQFT,LVT Flooring,Home Depot,home depot,656.04,ANTLERTRAIL210SQFT,true,1,656.04,656.04,1,high,,John Daye 39938-CJC,26
lifeproof,I06204LP,I06204LP,LVT Floor Tile - Dusk Cherry,Home Depot,home depot,0.00,I06204LP,true,1,0.0,0.0,1,high,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,26
lifeproof,I228133LX,I228133LX,EnSuite Bath LVP L.P. Shallowford Oak 41 SQ FT,Home Depot,home depot,179.46,I228133LX,true,1,179.46,179.46,1,high,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,173 | 69 | 734
lifeproof,I233111L,I233111L,LVT LVT Flooring Pinecrest Place Oak 792 SQ FT,Home Depot,home depot,2512.40,I233111L,true,1,2512.4,2512.4,1,high,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,102 | 88
lifeproof,I966106LP,I966106LP,LVP- floor,Home Depot,home depot,127.74,I966106LP,true,1,127.74,127.74,1,high,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,87 | 75
lifeproof,IT13126L,IT13126L,Flooring LP - Navarra Maple 622 + 111 733 SQ FT,Home Depot,home depot,2515.70,IT13126L,true,1,2515.7,2515.7,1,high,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,127 | 101
lifeproof,SI2103090L,SI2103090L,LVT Flooring (5),Home Depot,home depot,272.54,SI2103090L,true,1,272.54,272.54,1,high,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,John Daye 39938-CJC | Sheet1,74 | 94 | 84
lifeproof,SI992101L,SI992101L,Life Proof Flooring - 50 SQ FT Feldstar Onxy 12x24 - (1) T-Strip EST,Home Depot,home depot,218.82,SI992101L,true,1,218.82,218.82,1,high,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,253 | 178
lifeproof,V4N1H08542,V4N1H-08542,T-Strip (1),Home Depot,home depot,41.79,V4N1H-08542,true,1,41.79,41.79,1,high,,John Daye 39938-CJC,75
miseno,MNO311LCP,MNO311LCP,Bella GPM Widespread Bathroom Faucet with Pop-Up Drain Assembly Model,Ferguson cancelled BO til end of May,ferguson cancelled bo til end of may,129.47,MNO311LCP,true,1,129.47,129.47,1,high,Product_Master_Refined.xlsx,Product Master | Raw Extract,167 | 277
moen,8371HD,8371HD,Valve - Posi,Ferguson,ferguson,169.81,8371HD,true,1,169.81,169.81,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,61 | 78 | 55 | 118 | 81
moen,A725ORB,A725ORB,Shower Wall Elbow Supply,Ferguson,ferguson,72.78,A725ORB,true,1,72.78,72.78,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,70 | 231 | 63 | 211 | 148
moen,B074K731S9,B074K731S9,Tub Spout,Amazon,amazon,0.00,B074K731S9,true,1,0.0,0.0,1,high,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,244 | 173
moen,B07979FN76,B07979FN76,Shower Head M3662,Amazon,amazon,0.00,B07979FN76,true,1,0.0,0.0,1,high,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,240 | 170
moen,C5BL,C5BL,Shower Head - Magnitic,Ferguson,ferguson,249.65,C5BL,true,1,249.65,249.65,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,26 | 110 | 24 | 84 | 188
moen,DN2170BN,DN2170BN,Curved Shower Rod M,Amazon,amazon,0.00,DN2170BN,true,1,0.0,0.0,1,high,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,246 | 174
moen,LR2352DBN,LR2352DBN,"T.P. 7 /8"" x 1"" Grab Bar with Integrated Tissue Holder from the Home Care Collection",Ferguson,ferguson,64.37,LR2352DBN,true,1,64.37,64.37,1,high,Product_Master_Catalog_v3.xlsx | Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Extract | Raw Records | Product Master | Sheet1,15 | 37 | 195 | 16 | 151 | 21 | 22
moen,M164745ORB,M164745ORB,Shower Arm Flange,Ferguson,ferguson,19.66,M164745ORB,true,1,19.66,19.66,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,198 | 229 | 154 | 209 | 146
moen,M2570,M2570,Shower Valve - posi temp,Ferguson,ferguson,145.69,M2570,true,1,145.69,145.69,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,199 | 100 | 155 | 252 | 169 | 99 | 87
moen,M3662EPBN,M3662EPBN,Shower Head,Amazon,amazon,201.52,M3662EPBN,true,1,201.52,201.52,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx,Product Library | Raw Records | Product Master | Raw Extract,200 | 265 | 156
moen,M3667EPORB,M3667EPORB,Shower Handheld w/Slide Bar,Ferguson,ferguson,535.50,M3667EPORB,true,1,535.5,535.5,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,201 | 230 | 157 | 210 | 147
moen,M3839BN,M3839BN,Tub Spout,Amazon,amazon,74.68,M3839BN,true,1,74.68,74.68,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx,Product Library | Raw Records | Product Master | Raw Extract,203 | 271 | 159
moen,M62370,M62370,Shower Valve,Ferguson,ferguson,135.63,M62370,true,1,135.63,135.63,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,204 | 264 | 160 | 239 | 169
moen,M66610,M-66610,"Powder room Faucet Brantford Collection 4"" Centerset",Ferguson,ferguson,131.27,M-66610,true,1,131.27,131.27,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,197 | 285 | 153 | 251 | 312
moen,M6802BN,M6802BN,Faucet & Drain Kit,Amazon,amazon,209.36,M6802BN,true,1,209.36,209.36,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,205 | 270 | 161 | 172
moen,M7260SRS,M7260SRS,Faucet,Ferguson,ferguson,426.79,M7260SRS,true,1,426.79,426.79,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,206 | 36 | 162 | 254 | 24 | 45 | 44
moen,M9000,M9000,(2) Faucet Valves,Ferguson,ferguson,254.23,M9000,true,1,254.23,254.23,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,207 | 236 | 163 | 216 | 151
moen,M9792,M9792,Bath Tub Rough In,Ferguson,ferguson,333.05,M9792,true,1,333.05,333.05,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,208 | 238 | 164 | 218 | 153
moen,MA714ORB,MA714ORB,Shower Vacuum Breaker,Ferguson,ferguson,161.55,MA714ORB,true,1,161.55,161.55,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,209 | 232 | 165 | 212 | 149
moen,MDN2170BN,MDN2170BN,Curved Shower Rod,Ferguson,ferguson,47.04,MDN2170BN,true,1,47.04,47.04,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx,Product Library | Raw Records | Product Master | Raw Extract,210 | 273 | 166
moen,MR8718D3GCH,MR8718D3GCH,"Grab Bar 18"" Vertical Home Care",Ferguson,ferguson,59.54,MR8718D3GCH,true,1,59.54,59.54,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,212 | 54 | 168 | 272 | 43 | 59 | 55
moen,MS122BN,MS122BN,Shower Arm,Ferguson,ferguson,96.38,MS122BN,true,1,96.38,96.38,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,214 | 266 | 170 | 241 | 171
moen,MS6365EPORB,MS6365EPORB,Shower Head,Ferguson,ferguson,338.57,MS6365EPORB,true,1,338.57,338.57,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,215 | 227 | 171 | 207 | 145
moen,MT2181BN,MT2181BN,Shower Handle Trim,Amazon,amazon,102.83,MT2181BN,true,1,102.83,102.83,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx,Product Library | Raw Records | Product Master | Raw Extract,217 | 263 | 173
moen,MT2902NH,MT2902NH,Shower Trim - Chrome,Ferguson,ferguson,48.72,MT2902NH,true,1,48.72,48.72,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,218 | 99 | 174 | 274 | 168 | 98 | 86
moen,MT6905ORB,MT6905ORB,(2) Faucet & Drain Kit,Ferguson,ferguson,1029.36,MT6905ORB,true,1,1029.36,1029.36,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,219 | 235 | 175 | 215 | 150
moen,R8718D3GCH,R8718D3GCH,"Grab Bar 18""",Ferguson,ferguson,59.54,R8718D3GCH,true,1,59.54,59.54,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,233 | 83 | 183 | 289 | 87 | 78 | 68
moen,S122BL,S122BL,Shower Arm & Flange,Ferguson,ferguson,101.00,S122BL,true,1,101.0,101.0,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,236 | 109 | 186 | 292 | 187 | 107 | 89
moen,T2133,T2133,"Shower Head, Trim, & Tub Spout",Ferguson,ferguson,1591.55,T2133,true,1,1591.55,1591.55,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,248 | 77 | 196 | 319 | 80 | 73 | 65
moen,T2181BN,T2181BN,Bathroom Plumbing Shower Handle Trim,Amazon,amazon,0.00,T2181BN,true,1,0.0,0.0,1,high,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,238 | 168
moen,T2691BL,T2691BL,Shower Trim,Ferguson,ferguson,286.22,T2691BL,true,1,286.22,286.22,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,249 | 111 | 198 | 320 | 189 | 109 | 90
moen,T2902NHBN,T2902NHBN,"Shower , Trim & Arm Gibson Shower Only Trim Package Shower Head",Ferguson,ferguson,100.13,T2902NHBN,true,1,100.13,100.13,1,high,Product_Master_Catalog_v3.xlsx | Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Extract | Raw Records | Product Master | Sheet1,17 | 20 | 250 | 2 | 199 | 7 | 12
moen,T2903NHBN,T2903NHBN,Gibson Tub /Shower Trims,Ferguson,ferguson,0.00,T2903NHBN,true,1,0.0,0.0,1,high,Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Master | Raw Extract | Sheet1,200 | 288 | 304 | 241
moen,T694ORB,T694ORB,Bath Tub Faucet with Handheld,Ferguson,ferguson,1309.70,T694ORB,true,1,1309.7,1309.7,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,251 | 237 | 201 | 217 | 152
moen,U232CIS,U232CIS,Shower Valve,Ferguson,ferguson,200.91,U232CIS,true,1,200.91,200.91,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,255 | 226 | 204 | 206 | 144
